2020-01-14 12:01:57,858 - 收到数据：#4@0@4@2!
2020-01-14 12:01:57,869 - socket 请求web结果 "02"

2020-01-14 12:01:57,870 - 连接socket成功
2020-01-14 12:01:57,923 - socket 请求web结果 "02"

2020-01-14 12:01:57,923 - 连接socket成功
2020-01-14 12:01:58,871 - 收到数据：#4@0@4@2!
2020-01-14 12:01:58,924 - 收到数据：#4@0@4@2!
2020-01-14 12:01:58,935 - socket 请求web结果 "02"

2020-01-14 12:01:58,936 - 连接socket成功
2020-01-14 12:01:58,988 - socket 请求web结果 "02"

2020-01-14 12:01:58,988 - 连接socket成功
2020-01-14 12:01:59,939 - 收到数据：#4@0@4@2!
2020-01-14 12:01:59,990 - 收到数据：#4@0@4@2!
2020-01-14 12:02:00,036 - socket 请求web结果 "02"

2020-01-14 12:02:00,038 - 连接socket成功
2020-01-14 12:02:00,076 - socket 请求web结果 "02"

2020-01-14 12:02:00,078 - 连接socket成功
2020-01-14 12:02:33,045 - 收到数据：#4@0@4@3!
2020-01-14 12:02:33,073 - 收到数据：#4@0@4@3!
2020-01-14 12:02:33,129 - socket 请求web结果 "03"

2020-01-14 12:02:33,130 - 连接socket成功
2020-01-14 12:02:33,161 - socket 请求web结果 "03"

2020-01-14 12:02:33,161 - 连接socket成功
2020-01-14 12:02:34,132 - 收到数据：#4@0@4@3!
2020-01-14 12:02:34,174 - 收到数据：#4@0@4@3!
2020-01-14 12:02:34,196 - socket 请求web结果 "03"

2020-01-14 12:02:34,196 - 连接socket成功
2020-01-14 12:02:34,251 - socket 请求web结果 "03"

2020-01-14 12:02:34,251 - 连接socket成功
2020-01-14 12:02:35,199 - 收到数据：#4@0@4@3!
2020-01-14 12:02:35,262 - 收到数据：#4@0@4@3!
2020-01-14 12:02:35,276 - socket 请求web结果 "03"

2020-01-14 12:02:35,276 - 连接socket成功
2020-01-14 12:02:35,324 - socket 请求web结果 "03"

2020-01-14 12:02:35,325 - 连接socket成功
2020-01-14 12:02:36,278 - 收到数据：#4@0@4@3!
2020-01-14 12:02:36,326 - 收到数据：#4@0@4@3!
2020-01-14 12:02:36,349 - socket 请求web结果 "03"

2020-01-14 12:02:36,350 - 连接socket成功
2020-01-14 12:02:36,395 - socket 请求web结果 "03"

2020-01-14 12:02:36,395 - 连接socket成功
2020-01-14 12:02:37,362 - 收到数据：#4@0@4@3!
2020-01-14 12:02:37,397 - 收到数据：#4@0@4@3!
2020-01-14 12:02:37,454 - socket 请求web结果 "03"

2020-01-14 12:02:37,455 - 连接socket成功
2020-01-14 12:02:37,489 - socket 请求web结果 "03"

2020-01-14 12:02:37,490 - 连接socket成功
2020-01-14 12:02:38,465 - 收到数据：#4@0@4@3!
2020-01-14 12:02:38,501 - 收到数据：#4@0@4@3!
2020-01-14 12:02:38,542 - socket 请求web结果 "03"

2020-01-14 12:02:38,544 - 连接socket成功
2020-01-14 12:02:38,587 - socket 请求web结果 "03"

2020-01-14 12:02:38,588 - 连接socket成功
2020-01-14 12:02:39,556 - 收到数据：#4@0@4@3!
2020-01-14 12:02:39,598 - 收到数据：#4@0@4@3!
2020-01-14 12:02:39,620 - socket 请求web结果 "03"

2020-01-14 12:02:39,621 - 连接socket成功
2020-01-14 12:02:39,673 - socket 请求web结果 "03"

2020-01-14 12:02:39,673 - 连接socket成功
2020-01-14 12:02:40,633 - 收到数据：#4@0@4@3!
2020-01-14 12:02:40,683 - 收到数据：#4@0@4@3!
2020-01-14 12:02:40,697 - socket 请求web结果 "03"

2020-01-14 12:02:40,698 - 连接socket成功
2020-01-14 12:02:40,779 - socket 请求web结果 "03"

2020-01-14 12:02:40,780 - 连接socket成功
2020-01-14 12:02:41,711 - 收到数据：#4@0@4@3!
2020-01-14 12:02:41,792 - 收到数据：#4@0@4@3!
2020-01-14 12:02:41,812 - socket 请求web结果 "03"

2020-01-14 12:02:41,812 - 连接socket成功
2020-01-14 12:02:41,903 - socket 请求web结果 "03"

2020-01-14 12:02:41,905 - 连接socket成功
2020-01-14 12:02:42,814 - 收到数据：#4@0@4@3!
2020-01-14 12:02:42,899 - socket 请求web结果 "03"

2020-01-14 12:02:42,899 - 连接socket成功
2020-01-14 12:02:42,915 - 收到数据：#4@0@4@3!
2020-01-14 12:02:42,977 - socket 请求web结果 "03"

2020-01-14 12:02:42,978 - 连接socket成功
2020-01-14 12:02:50,861 - 收到数据：#4@0@4@4!
2020-01-14 12:02:50,863 - 收到数据：#4@0@4@4!
2020-01-14 12:02:50,991 - socket 请求web结果 "04"

2020-01-14 12:02:50,991 - 连接socket成功
2020-01-14 12:02:50,991 - socket 请求web结果 "04"

2020-01-14 12:02:50,992 - 连接socket成功
2020-01-14 12:02:52,004 - 收到数据：#4@0@4@4!
2020-01-14 12:02:52,006 - 收到数据：#4@0@4@4!
2020-01-14 12:02:52,108 - socket 请求web结果 "04"

2020-01-14 12:02:52,108 - 连接socket成功
2020-01-14 12:02:52,110 - socket 请求web结果 "04"

2020-01-14 12:02:52,110 - 连接socket成功
2020-01-14 12:02:53,119 - 收到数据：#4@0@4@4!
2020-01-14 12:02:53,120 - 收到数据：#4@0@4@4!
2020-01-14 12:02:53,220 - socket 请求web结果 "04"

2020-01-14 12:02:53,220 - 连接socket成功
2020-01-14 12:02:53,220 - socket 请求web结果 "04"

2020-01-14 12:02:53,221 - 连接socket成功
2020-01-14 12:02:54,232 - 收到数据：#4@0@4@4!
2020-01-14 12:02:54,233 - 收到数据：#4@0@4@4!
2020-01-14 12:02:54,336 - socket 请求web结果 "04"

2020-01-14 12:02:54,337 - socket 请求web结果 "04"

2020-01-14 12:02:54,337 - 连接socket成功
2020-01-14 12:02:54,338 - 连接socket成功
2020-01-14 12:02:55,340 - 收到数据：#4@0@4@4!
2020-01-14 12:02:55,342 - 收到数据：#4@0@4@4!
2020-01-14 12:02:55,442 - socket 请求web结果 "04"

2020-01-14 12:02:55,443 - 连接socket成功
2020-01-14 12:02:55,444 - socket 请求web结果 "04"

2020-01-14 12:02:55,444 - 连接socket成功
2020-01-14 12:02:56,454 - 收到数据：#4@0@4@4!
2020-01-14 12:02:56,557 - socket 请求web结果 "04"

2020-01-14 12:02:56,558 - 连接socket成功
2020-01-14 12:02:56,558 - socket 请求web结果 "04"

2020-01-14 12:02:56,558 - 连接socket成功
2020-01-14 13:45:28,788 - 收到数据：#4@0@4@4!
2020-01-14 13:45:28,974 - socket 请求web结果 "04"

2020-01-14 13:45:28,975 - 连接socket成功
2020-01-14 13:45:28,975 - 连接socket成功
2020-01-14 13:45:29,976 - 收到数据：#4@0@4@4!
2020-01-14 13:45:29,976 - 收到数据：#4@0@4@4!
2020-01-14 13:45:30,118 - socket 请求web结果 "04"

2020-01-14 13:45:30,118 - socket 请求web结果 "04"

2020-01-14 13:45:30,118 - 连接socket成功
2020-01-14 13:45:30,119 - 连接socket成功
2020-01-14 13:45:31,120 - 收到数据：#4@0@4@4!
2020-01-14 13:45:31,122 - 收到数据：#4@0@4@4!
2020-01-14 13:45:31,195 - socket 请求web结果 "04"

2020-01-14 13:45:31,196 - 连接socket成功
2020-01-14 13:45:31,198 - socket 请求web结果 "04"

2020-01-14 13:45:31,198 - 连接socket成功
2020-01-14 13:45:32,208 - 收到数据：#4@0@4@4!
2020-01-14 13:45:32,210 - 收到数据：#4@0@4@4!
2020-01-14 13:45:32,273 - socket 请求web结果 "04"

2020-01-14 13:45:32,274 - 连接socket成功
2020-01-14 13:45:32,274 - socket 请求web结果 "04"

2020-01-14 13:45:32,274 - 连接socket成功
2020-01-14 13:45:33,333 - 收到数据：#4@0@4@4!
2020-01-14 13:45:33,334 - 收到数据：#4@0@4@4!
2020-01-14 13:45:33,407 - socket 请求web结果 "04"

2020-01-14 13:45:33,407 - 连接socket成功
2020-01-14 13:45:33,409 - socket 请求web结果 "04"

2020-01-14 13:45:33,409 - 连接socket成功
2020-01-14 13:45:34,419 - 收到数据：#4@0@4@4!
2020-01-14 13:45:34,421 - 收到数据：#4@0@4@4!
2020-01-14 13:45:34,491 - socket 请求web结果 "04"

2020-01-14 13:45:34,491 - 连接socket成功
2020-01-14 13:45:34,492 - socket 请求web结果 "04"

2020-01-14 13:45:34,492 - 连接socket成功
2020-01-14 13:45:35,502 - 收到数据：#4@0@4@4!
2020-01-14 13:45:35,504 - 收到数据：#4@0@4@4!
2020-01-14 13:45:35,593 - socket 请求web结果 "04"

2020-01-14 13:45:35,594 - 连接socket成功
2020-01-14 13:45:35,594 - socket 请求web结果 "04"

2020-01-14 13:45:35,595 - 连接socket成功
2020-01-14 13:45:51,020 - 收到数据：#4@0@4@5!
2020-01-14 13:45:51,030 - 收到数据：#4@0@4@5!
2020-01-14 13:45:51,073 - socket 请求web结果 "05"

2020-01-14 13:45:51,073 - 连接socket成功
2020-01-14 13:45:51,149 - 连接socket成功
2020-01-14 13:45:52,083 - 收到数据：#4@0@4@5!
2020-01-14 13:45:52,130 - socket 请求web结果 "05"

2020-01-14 13:45:52,130 - 连接socket成功
2020-01-14 13:45:52,159 - 收到数据：#4@0@4@5!
2020-01-14 13:45:52,206 - socket 请求web结果 "05"

2020-01-14 13:45:52,207 - 连接socket成功
2020-01-14 13:45:53,133 - 收到数据：#4@0@4@5!
2020-01-14 13:45:53,207 - socket 请求web结果 "05"

2020-01-14 13:45:53,208 - 连接socket成功
2020-01-14 13:45:53,218 - 收到数据：#4@0@4@5!
2020-01-14 13:45:53,275 - socket 请求web结果 "05"

2020-01-14 13:45:53,276 - 连接socket成功
2020-01-14 13:45:54,219 - 收到数据：#4@0@4@5!
2020-01-14 13:45:54,277 - socket 请求web结果 "05"

2020-01-14 13:45:54,278 - 连接socket成功
2020-01-14 13:45:54,278 - 收到数据：#4@0@4@5!
2020-01-14 13:45:54,353 - socket 请求web结果 "05"

2020-01-14 13:45:54,353 - 连接socket成功
2020-01-14 13:45:55,279 - 收到数据：#4@0@4@5!
2020-01-14 13:45:55,329 - socket 请求web结果 "05"

2020-01-14 13:45:55,329 - 连接socket成功
2020-01-14 13:45:55,365 - 收到数据：#4@0@4@5!
2020-01-14 13:45:55,415 - socket 请求web结果 "05"

2020-01-14 13:45:55,415 - 连接socket成功
2020-01-14 13:45:56,341 - 收到数据：#4@0@4@5!
2020-01-14 13:45:56,396 - socket 请求web结果 "05"

2020-01-14 13:45:56,398 - 连接socket成功
2020-01-14 13:45:56,427 - 收到数据：#4@0@4@5!
2020-01-14 13:45:56,476 - socket 请求web结果 "05"

2020-01-14 13:45:56,477 - 连接socket成功
2020-02-03 21:22:12,100 - 收到数据：#4@0@4@5!
2020-02-03 21:22:12,131 - socket 请求web结果 "054"

2020-02-03 21:22:12,131 - 连接socket成功
2020-02-03 21:22:13,147 - 收到数据：#4@0@4@5!
2020-02-03 21:22:13,178 - socket 请求web结果 "054"

2020-02-03 21:22:13,178 - 连接socket成功
2020-02-03 21:22:14,209 - 收到数据：#4@0@4@5!
2020-02-03 21:22:14,240 - socket 请求web结果 "054"

2020-02-03 21:22:14,240 - 连接socket成功
2020-02-03 21:22:15,224 - 收到数据：#4@0@4@5!
2020-02-03 21:22:15,256 - 收到数据：#4@0@4@5!
2020-02-03 21:22:15,271 - socket 请求web结果 "054"

2020-02-03 21:22:15,271 - 连接socket成功
2020-02-03 21:22:15,287 - socket 请求web结果 "054"

2020-02-03 21:22:15,287 - 连接socket成功
2020-02-03 21:22:16,271 - 收到数据：#4@0@4@5!
2020-02-03 21:22:16,302 - 收到数据：#4@0@4@5!
2020-02-03 21:22:16,302 - socket 请求web结果 "054"

2020-02-03 21:22:16,302 - 连接socket成功
2020-02-03 21:22:16,333 - socket 请求web结果 "054"

2020-02-03 21:22:16,333 - 连接socket成功
2020-02-03 21:22:17,318 - 收到数据：#4@0@4@5!
2020-02-03 21:22:17,349 - socket 请求web结果 "054"

2020-02-03 21:22:17,349 - 连接socket成功
2020-02-03 21:22:17,365 - 收到数据：#4@0@4@5!
2020-02-03 21:22:17,396 - socket 请求web结果 "054"

2020-02-03 21:22:17,396 - 连接socket成功
2020-02-03 21:22:18,380 - 收到数据：#4@0@4@5!
2020-02-03 21:22:18,411 - socket 请求web结果 "054"

2020-02-03 21:22:18,411 - 连接socket成功
2020-02-03 21:22:18,427 - 收到数据：#4@0@4@5!
2020-02-03 21:22:18,458 - socket 请求web结果 "054"

2020-02-03 21:22:18,458 - 连接socket成功
2020-02-03 21:22:19,426 - 收到数据：#4@0@4@5!
2020-02-03 21:22:19,458 - socket 请求web结果 "054"

2020-02-03 21:22:19,458 - 连接socket成功
2020-02-03 21:22:19,489 - 收到数据：#4@0@4@5!
2020-02-03 21:22:19,520 - socket 请求web结果 "054"

2020-02-03 21:22:19,520 - 连接socket成功
2020-02-03 21:22:20,473 - 收到数据：#4@0@4@5!
2020-02-03 21:22:20,504 - socket 请求web结果 "054"

2020-02-03 21:22:20,504 - 连接socket成功
2020-02-03 21:22:20,551 - 收到数据：#4@0@4@5!
2020-02-03 21:22:20,588 - socket 请求web结果 "054"

2020-02-03 21:22:20,588 - 连接socket成功
2020-02-03 21:22:21,515 - 收到数据：#4@0@4@5!
2020-02-03 21:22:21,568 - socket 请求web结果 "054"

2020-02-03 21:22:21,568 - 连接socket成功
2020-02-03 21:22:21,600 - 收到数据：#4@0@4@5!
